2024-08-06T01:56:52.360815716Z {"component":"virt-handler","level":"info","msg":"set verbosity to 2","pos":"virt-handler.go:509","timestamp":"2024-08-06T01:56:52.360727Z"}
2024-08-06T01:56:52.360826412Z {"component":"virt-handler","level":"info","msg":"VSOCK server is already stopped","pos":"server.go:32","timestamp":"2024-08-06T01:56:52.360759Z"}
2024-08-06T01:56:52.360830308Z {"component":"virt-handler","level":"info","msg":"Kubevirt Seccomp profile is not enabled","pos":"virt-handler.go:540","timestamp":"2024-08-06T01:56:52.360637Z"}
2024-08-06T01:56:52.360906994Z {"component":"virt-handler","level":"info","msg":"setting rate limiter to 5 QPS and 10 Burst","pos":"virt-handler.go:518","timestamp":"2024-08-06T01:56:52.360650Z"}
2024-08-06T01:56:52.360910720Z {"component":"virt-handler","level":"info","msg":"Kubevirt Seccomp profile is not enabled","pos":"virt-handler.go:540","timestamp":"2024-08-06T01:56:52.360769Z"}
2024-08-06T01:56:52.367069321Z {"component":"virt-handler","level":"info","msg":"set verbosity to 2","pos":"virt-handler.go:509","timestamp":"2024-08-06T01:56:52.366948Z"}
2024-08-06T01:56:52.367097714Z {"component":"virt-handler","level":"info","msg":"setting rate limiter to 5 QPS and 10 Burst","pos":"virt-handler.go:518","timestamp":"2024-08-06T01:56:52.367009Z"}
2024-08-06T01:56:52.368057658Z {"component":"virt-handler","level":"info","msg":"Kubevirt Seccomp profile is not enabled","pos":"virt-handler.go:540","timestamp":"2024-08-06T01:56:52.367028Z"}
2024-08-06T01:56:52.368124199Z {"component":"virt-handler","level":"info","msg":"VSOCK server is already stopped","pos":"server.go:32","timestamp":"2024-08-06T01:56:52.367056Z"}
2024-08-06T01:56:52.368151080Z {"component":"virt-handler","level":"info","msg":"Starting virt-handler controller.","pos":"vm.go:1632","timestamp":"2024-08-06T01:56:52.367198Z"}
2024-08-06T01:56:52.368156137Z {"component":"virt-handler","level":"info","msg":"Starting a device plugin for device: kvm","pos":"device_controller.go:58","timestamp":"2024-08-06T01:56:52.367443Z"}
2024-08-06T01:56:52.368160173Z {"component":"virt-handler","level":"info","msg":"Starting a device plugin for device: tun","pos":"device_controller.go:58","timestamp":"2024-08-06T01:56:52.367503Z"}
2024-08-06T01:56:52.368164300Z {"component":"virt-handler","level":"info","msg":"Starting a device plugin for device: vhost-net","pos":"device_controller.go:58","timestamp":"2024-08-06T01:56:52.367519Z"}
2024-08-06T01:56:52.368169618Z {"component":"virt-handler","level":"info","msg":"refreshed device plugins for permitted/forbidden host devices","pos":"device_controller.go:350","timestamp":"2024-08-06T01:56:52.367610Z"}
2024-08-06T01:56:52.368173584Z {"component":"virt-handler","level":"info","msg":"enabled device-plugins for: []","pos":"device_controller.go:351","timestamp":"2024-08-06T01:56:52.367629Z"}
2024-08-06T01:56:52.368177590Z {"component":"virt-handler","level":"info","msg":"disabled device-plugins for: []","pos":"device_controller.go:352","timestamp":"2024-08-06T01:56:52.367643Z"}
2024-08-06T01:56:52.368181466Z {"component":"virt-handler","level":"info","msg":"refreshed device plugins for permitted/forbidden host devices","pos":"device_controller.go:350","timestamp":"2024-08-06T01:56:52.367681Z"}
2024-08-06T01:56:52.368185312Z {"component":"virt-handler","level":"info","msg":"enabled device-plugins for: []","pos":"device_controller.go:351","timestamp":"2024-08-06T01:56:52.367696Z"}
2024-08-06T01:56:52.368190770Z {"component":"virt-handler","level":"info","msg":"disabled device-plugins for: []","pos":"device_controller.go:352","timestamp":"2024-08-06T01:56:52.367707Z"}
2024-08-06T01:56:52.368321588Z {"component":"virt-handler","level":"info","msg":"Kubevirt Seccomp profile is not enabled","pos":"virt-handler.go:540","timestamp":"2024-08-06T01:56:52.368194Z"}
2024-08-06T01:56:52.368342840Z {"component":"virt-handler","level":"info","msg":"setting rate limiter to 5 QPS and 10 Burst","pos":"virt-handler.go:518","timestamp":"2024-08-06T01:56:52.368255Z"}
2024-08-06T01:56:52.368355529Z {"component":"virt-handler","level":"info","msg":"setting rate limiter to 5 QPS and 10 Burst","pos":"virt-handler.go:518","timestamp":"2024-08-06T01:56:52.368284Z"}
2024-08-06T01:56:52.368361739Z {"component":"virt-handler","level":"info","msg":"set verbosity to 2","pos":"virt-handler.go:509","timestamp":"2024-08-06T01:56:52.368308Z"}
2024-08-06T01:56:52.368366226Z {"component":"virt-handler","level":"info","msg":"VSOCK server is already stopped","pos":"server.go:32","timestamp":"2024-08-06T01:56:52.368166Z"}
2024-08-06T01:56:52.368385275Z {"component":"virt-handler","level":"info","msg":"Kubevirt Seccomp profile is not enabled","pos":"virt-handler.go:540","timestamp":"2024-08-06T01:56:52.368331Z"}
2024-08-06T01:56:52.368390192Z {"component":"virt-handler","level":"info","msg":"VSOCK server is already stopped","pos":"server.go:32","timestamp":"2024-08-06T01:56:52.368342Z"}
2024-08-06T01:56:52.368833954Z {"component":"virt-handler","level":"info","msg":"set verbosity to 2","pos":"virt-handler.go:509","timestamp":"2024-08-06T01:56:52.368621Z"}
2024-08-06T01:56:52.371350517Z {"component":"virt-handler","level":"info","msg":"tun device plugin started","pos":"generic_device.go:156","timestamp":"2024-08-06T01:56:52.371263Z"}
2024-08-06T01:56:52.371390958Z {"component":"virt-handler","level":"info","msg":"kvm device plugin started","pos":"generic_device.go:156","timestamp":"2024-08-06T01:56:52.371313Z"}
