2024-08-06T02:13:39.265461574Z {"component":"virt-handler","level":"info","msg":"set verbosity to 2","pos":"virt-handler.go:509","timestamp":"2024-08-06T02:13:39.265352Z"}
2024-08-06T02:13:39.265983481Z {"component":"virt-handler","level":"info","msg":"setting rate limiter to 5 QPS and 10 Burst","pos":"virt-handler.go:518","timestamp":"2024-08-06T02:13:39.265622Z"}
2024-08-06T02:13:39.266001335Z {"component":"virt-handler","level":"info","msg":"Kubevirt Seccomp profile is not enabled","pos":"virt-handler.go:540","timestamp":"2024-08-06T02:13:39.265282Z"}
2024-08-06T02:13:39.266129910Z {"component":"virt-handler","level":"info","msg":"VSOCK server is already stopped","pos":"server.go:32","timestamp":"2024-08-06T02:13:39.265886Z"}
2024-08-06T02:13:39.266176259Z {"component":"virt-handler","level":"info","msg":"Kubevirt Seccomp profile is not enabled","pos":"virt-handler.go:540","timestamp":"2024-08-06T02:13:39.265645Z"}
2024-08-06T02:13:39.341735362Z {"component":"virt-handler","level":"info","msg":"Kubevirt Seccomp profile is not enabled","pos":"virt-handler.go:540","timestamp":"2024-08-06T02:13:39.341532Z"}
2024-08-06T02:13:39.341758396Z {"component":"virt-handler","level":"info","msg":"Starting virt-handler controller.","pos":"vm.go:1632","timestamp":"2024-08-06T02:13:39.341590Z"}
2024-08-06T02:13:39.341768996Z {"component":"virt-handler","level":"info","msg":"set verbosity to 2","pos":"virt-handler.go:509","timestamp":"2024-08-06T02:13:39.341634Z"}
2024-08-06T02:13:39.341795537Z {"component":"virt-handler","level":"info","msg":"setting rate limiter to 5 QPS and 10 Burst","pos":"virt-handler.go:518","timestamp":"2024-08-06T02:13:39.341674Z"}
2024-08-06T02:13:39.341832317Z {"component":"virt-handler","level":"info","msg":"VSOCK server is already stopped","pos":"server.go:32","timestamp":"2024-08-06T02:13:39.341690Z"}
2024-08-06T02:13:39.341869839Z {"component":"virt-handler","level":"info","msg":"Starting a device plugin for device: kvm","pos":"device_controller.go:58","timestamp":"2024-08-06T02:13:39.341685Z"}
2024-08-06T02:13:39.341891440Z {"component":"virt-handler","level":"info","msg":"Starting a device plugin for device: tun","pos":"device_controller.go:58","timestamp":"2024-08-06T02:13:39.341821Z"}
