2024-08-06T02:11:20.221384075Z I0806 02:11:20.221052       1 node_controller.go:502] Successfully initialized node harvesterdev2 with cloud provider
2024-08-06T02:11:20.221410144Z I0806 02:11:20.221298       1 event.go:376] "Event occurred" object="harvesterdev2" fieldPath="" kind="Node" apiVersion="v1" type="Normal" reason="Synced" message="Node synced successfully"
2024-08-06T02:13:11.817412792Z I0806 02:13:11.815871       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.817434895Z E0806 02:13:11.815968       1 node_controller.go:240] error syncing 'harvesterdev3': failed to get instance metadata for node harvesterdev3: address annotations not yet set, requeuing
2024-08-06T02:13:11.821224250Z I0806 02:13:11.821159       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.821264087Z E0806 02:13:11.821221       1 node_controller.go:240] error syncing 'harvesterdev3': failed to get instance metadata for node harvesterdev3: address annotations not yet set, requeuing
2024-08-06T02:13:11.825717005Z I0806 02:13:11.825651       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.825851625Z E0806 02:13:11.825709       1 node_controller.go:240] error syncing 'harvesterdev3': failed to get instance metadata for node harvesterdev3: address annotations not yet set, requeuing
2024-08-06T02:13:11.831686475Z I0806 02:13:11.831615       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.831726963Z E0806 02:13:11.831686       1 node_controller.go:240] error syncing 'harvesterdev3': failed to get instance metadata for node harvesterdev3: address annotations not yet set, requeuing
2024-08-06T02:13:11.841924556Z I0806 02:13:11.841244       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.841939625Z E0806 02:13:11.841313       1 node_controller.go:240] error syncing 'harvesterdev3': failed to get instance metadata for node harvesterdev3: address annotations not yet set, requeuing
2024-08-06T02:13:11.853113395Z I0806 02:13:11.852821       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.853127191Z E0806 02:13:11.852896       1 node_controller.go:240] error syncing 'harvesterdev3': failed to get instance metadata for node harvesterdev3: address annotations not yet set, requeuing
2024-08-06T02:13:11.863386143Z I0806 02:13:11.863202       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.863409398Z E0806 02:13:11.863285       1 node_controller.go:240] error syncing 'harvesterdev3': failed to get instance metadata for node harvesterdev3: address annotations not yet set, requeuing
2024-08-06T02:13:11.873727294Z I0806 02:13:11.870970       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.873771860Z E0806 02:13:11.871036       1 node_controller.go:240] error syncing 'harvesterdev3': failed to get instance metadata for node harvesterdev3: address annotations not yet set, requeuing
2024-08-06T02:13:11.873777731Z I0806 02:13:11.872137       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.873782631Z E0806 02:13:11.872187       1 node_controller.go:240] error syncing 'harvesterdev3': failed to get instance metadata for node harvesterdev3: address annotations not yet set, requeuing
2024-08-06T02:13:11.883785396Z I0806 02:13:11.883671       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.883863217Z E0806 02:13:11.883742       1 node_controller.go:240] error syncing 'harvesterdev3': failed to get instance metadata for node harvesterdev3: address annotations not yet set, requeuing
2024-08-06T02:13:11.897903318Z I0806 02:13:11.897814       1 node_controller.go:431] Initializing node harvesterdev3 with cloud provider
2024-08-06T02:13:11.907703092Z I0806 02:13:11.907578       1 node_controller.go:502] Successfully initialized node harvesterdev3 with cloud provider
2024-08-06T02:13:11.907842101Z I0806 02:13:11.907728       1 event.go:376] "Event occurred" object="harvesterdev3" fieldPath="" kind="Node" apiVersion="v1" type="Normal" reason="Synced" message="Node synced successfully"
2024-08-06T02:15:24.071149244Z I0806 02:15:24.070954       1 node_controller.go:431] Initializing node harvesterdev7 with cloud provider
2024-08-06T02:15:24.071224026Z E0806 02:15:24.071057       1 node_controller.go:240] error syncing 'harvesterdev7': failed to get instance metadata for node harvesterdev7: address annotations not yet set, requeuing
2024-08-06T02:15:24.076358962Z I0806 02:15:24.076301       1 node_controller.go:431] Initializing node harvesterdev7 with cloud provider
2024-08-06T02:15:24.076396303Z E0806 02:15:24.076344       1 node_controller.go:240] error syncing 'harvesterdev7': failed to get instance metadata for node harvesterdev7: address annotations not yet set, requeuing
2024-08-06T02:15:24.081504839Z I0806 02:15:24.081430       1 node_controller.go:431] Initializing node harvesterdev7 with cloud provider
2024-08-06T02:15:24.089209087Z I0806 02:15:24.089137       1 node_controller.go:502] Successfully initialized node harvesterdev7 with cloud provider
2024-08-06T02:15:24.089244805Z I0806 02:15:24.089226       1 node_controller.go:431] Initializing node harvesterdev7 with cloud provider
2024-08-06T02:15:24.089501144Z I0806 02:15:24.089445       1 event.go:376] "Event occurred" object="harvesterdev7" fieldPath="" kind="Node" apiVersion="v1" type="Normal" reason="Synced" message="Node synced successfully"
2024-08-06T02:15:24.196927437Z I0806 02:15:24.196845       1 node_controller.go:502] Successfully initialized node harvesterdev7 with cloud provider
2024-08-06T02:15:24.197049750Z I0806 02:15:24.197009       1 event.go:376] "Event occurred" object="harvesterdev7" fieldPath="" kind="Node" apiVersion="v1" type="Normal" reason="Synced" message="Node synced successfully"
