2024-08-06T01:55:53.665669631Z {"component":"virt-operator","level":"info","msg":"set log verbosity to 2","pos":"application.go:512","timestamp":"2024-08-06T01:55:53.664945Z"}
2024-08-06T01:55:53.674598552Z {"component":"virt-operator","level":"info","msg":"set log verbosity to 2","pos":"application.go:512","timestamp":"2024-08-06T01:55:53.674364Z"}
2024-08-06T01:55:54.380482351Z {"component":"virt-operator","level":"info","msg":"set log verbosity to 2","pos":"application.go:512","timestamp":"2024-08-06T01:55:54.380326Z"}
2024-08-06T01:55:54.380526335Z {"component":"virt-operator","level":"info","msg":"set log verbosity to 2","pos":"application.go:512","timestamp":"2024-08-06T01:55:54.380399Z"}
2024-08-06T01:55:54.465387274Z {"component":"virt-operator","level":"info","msg":"Attempting to acquire leader status","pos":"application.go:448","timestamp":"2024-08-06T01:55:54.465203Z"}
2024-08-06T01:55:54.465417782Z {"component":"virt-operator","level":"info","msg":"set log verbosity to 2","pos":"application.go:512","timestamp":"2024-08-06T01:55:54.465223Z"}
2024-08-06T01:55:54.465427010Z I0806 01:55:54.465322       1 leaderelection.go:248] attempting to acquire leader lease harvester-system/virt-operator...
2024-08-06T01:55:54.475408665Z I0806 01:55:54.475324       1 leaderelection.go:258] successfully acquired lease harvester-system/virt-operator
2024-08-06T01:55:54.475503024Z {"component":"virt-operator","level":"info","msg":"Started leading","pos":"application.go:431","timestamp":"2024-08-06T01:55:54.475398Z"}
2024-08-06T01:55:54.475528513Z {"component":"virt-operator","level":"info","msg":"Starting KubeVirt controller.","pos":"kubevirt.go:630","timestamp":"2024-08-06T01:55:54.475462Z"}
2024-08-06T01:55:58.687830433Z {"component":"virt-operator","level":"info","msg":"set log verbosity to 2","pos":"application.go:512","timestamp":"2024-08-06T01:55:58.687661Z"}
2024-08-06T01:56:03.688453985Z {"component":"virt-operator","kind":"","level":"info","msg":"Handling KubeVirt resource","name":"kubevirt","namespace":"harvester-system","pos":"kubevirt.go:727","timestamp":"2024-08-06T01:56:03.688249Z","uid":"e8fbfc77-713b-420b-a929-c51824f99a4f"}
2024-08-06T01:56:03.688492679Z {"component":"virt-operator","kind":"","level":"info","msg":"Handling deployment","name":"kubevirt","namespace":"harvester-system","pos":"kubevirt.go:918","timestamp":"2024-08-06T01:56:03.688392Z","uid":"e8fbfc77-713b-420b-a929-c51824f99a4f"}
2024-08-06T01:56:03.688932843Z {"component":"virt-operator","level":"info","msg":"Install strategy config map not loaded. reason: no install strategy configmap found for version 1.1.1-150500.8.15.1 with registry registry.suse.com/suse/sles/15.5","pos":"kubevirt.go:802","timestamp":"2024-08-06T01:56:03.688833Z"}
2024-08-06T01:56:03.711424572Z {"component":"virt-operator","level":"info","msg":"Created job to generate install strategy configmap for version 1.1.1-150500.8.15.1","pos":"kubevirt.go:869","timestamp":"2024-08-06T01:56:03.711320Z"}
2024-08-06T01:56:03.721884107Z {"component":"virt-operator","level":"info","msg":"Updating cluster config from KubeVirt to resource version '5686'","pos":"configuration.go:363","timestamp":"2024-08-06T01:56:03.721790Z"}
2024-08-06T01:56:03.721896811Z {"component":"virt-operator","level":"info","msg":"set log verbosity to 2","pos":"application.go:512","timestamp":"2024-08-06T01:56:03.721855Z"}
2024-08-06T01:56:08.712555941Z {"component":"virt-operator","kind":"","level":"info","msg":"Handling KubeVirt resource","name":"kubevirt","namespace":"harvester-system","pos":"kubevirt.go:727","timestamp":"2024-08-06T01:56:08.712337Z","uid":"e8fbfc77-713b-420b-a929-c51824f99a4f"}
2024-08-06T01:56:08.712596778Z {"component":"virt-operator","kind":"","level":"info","msg":"Handling deployment","name":"kubevirt","namespace":"harvester-system","pos":"kubevirt.go:918","timestamp":"2024-08-06T01:56:08.712449Z","uid":"e8fbfc77-713b-420b-a929-c51824f99a4f"}
2024-08-06T01:56:08.730448904Z {"component":"virt-operator","level":"info","msg":"ServiceAccount loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.730295Z"}
2024-08-06T01:56:08.730482628Z {"component":"virt-operator","level":"info","msg":"ServiceAccount loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.730390Z"}
2024-08-06T01:56:08.730503919Z {"component":"virt-operator","level":"info","msg":"ServiceAccount loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.730465Z"}
2024-08-06T01:56:08.730581435Z {"component":"virt-operator","level":"info","msg":"ServiceAccount loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.730531Z"}
2024-08-06T01:56:08.730835216Z {"component":"virt-operator","level":"info","msg":"ClusterRole loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.730744Z"}
2024-08-06T01:56:08.731619150Z {"component":"virt-operator","level":"info","msg":"ClusterRole loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.731506Z"}
2024-08-06T01:56:08.732265504Z {"component":"virt-operator","level":"info","msg":"ClusterRole loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.732214Z"}
2024-08-06T01:56:08.732762486Z {"component":"virt-operator","level":"info","msg":"ClusterRole loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.732705Z"}
2024-08-06T01:56:08.732855442Z {"component":"virt-operator","level":"info","msg":"ClusterRole loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.732804Z"}
2024-08-06T01:56:08.733532574Z {"component":"virt-operator","level":"info","msg":"ClusterRole loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.733449Z"}
2024-08-06T01:56:08.734657053Z {"component":"virt-operator","level":"info","msg":"ClusterRole loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.734560Z"}
2024-08-06T01:56:08.734926734Z {"component":"virt-operator","level":"info","msg":"ClusterRole loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.734881Z"}
2024-08-06T01:56:08.735059305Z {"component":"virt-operator","level":"info","msg":"ClusterRole loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.735012Z"}
