2024-08-06T01:58:22.480815746Z I0806 01:58:22.480725       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:58:22.480857914Z I0806 01:58:22.480740       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:58:30.181084270Z I0806 01:58:30.180979       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:58:30.181127361Z I0806 01:58:30.180998       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:58:37.633805358Z I0806 01:58:37.633718       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:58:37.633862043Z I0806 01:58:37.633738       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:58:48.249301704Z I0806 01:58:48.249214       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:58:48.249357558Z I0806 01:58:48.249227       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:58:55.559961171Z I0806 01:58:55.559835       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:58:55.560029527Z I0806 01:58:55.559863       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:59:03.245494933Z I0806 01:59:03.245387       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:59:03.245548622Z I0806 01:59:03.245406       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:59:13.497353306Z I0806 01:59:13.497204       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:59:13.497409149Z I0806 01:59:13.497223       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:59:22.462972541Z I0806 01:59:22.462840       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:59:22.463025879Z I0806 01:59:22.462866       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:59:29.765630191Z I0806 01:59:29.765510       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:59:29.765675093Z I0806 01:59:29.765532       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:59:38.217767549Z I0806 01:59:38.217639       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:59:38.217810588Z I0806 01:59:38.217661       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:59:45.898246620Z I0806 01:59:45.898105       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:59:45.898283507Z I0806 01:59:45.898126       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:59:53.101374561Z I0806 01:59:53.101251       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:59:53.101428420Z I0806 01:59:53.101275       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:00:03.496075935Z I0806 02:00:03.495974       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:00:03.496142787Z I0806 02:00:03.495998       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:00:09.657488858Z I0806 02:00:09.657391       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:00:09.657541632Z I0806 02:00:09.657413       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:00:15.321584771Z I0806 02:00:15.321442       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:00:15.321633937Z I0806 02:00:15.321464       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:00:26.072833980Z I0806 02:00:26.072718       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:00:26.072880119Z I0806 02:00:26.072738       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:00:31.528662107Z I0806 02:00:31.528555       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:00:31.528715200Z I0806 02:00:31.528574       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:00:37.511626011Z I0806 02:00:37.511501       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:00:37.511671659Z I0806 02:00:37.511522       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:00:47.208122765Z I0806 02:00:47.208034       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:00:47.208160427Z I0806 02:00:47.208046       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:00:57.785882045Z I0806 02:00:57.785772       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:00:57.785938934Z I0806 02:00:57.785792       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:01:06.052378388Z I0806 02:01:06.052221       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:01:06.052426409Z I0806 02:01:06.052243       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:01:15.321520771Z I0806 02:01:15.321409       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:01:15.321549285Z I0806 02:01:15.321433       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:01:23.287444736Z I0806 02:01:23.287322       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:01:23.287496343Z I0806 02:01:23.287345       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:01:31.941231776Z I0806 02:01:31.941139       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:01:31.941281440Z I0806 02:01:31.941162       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:01:42.289845334Z I0806 02:01:42.289710       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:01:42.289906198Z I0806 02:01:42.289740       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:01:51.745619523Z I0806 02:01:51.745494       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:01:51.745680037Z I0806 02:01:51.745517       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:01:57.793593789Z I0806 02:01:57.793479       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:01:57.793661035Z I0806 02:01:57.793495       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:02:05.181522793Z I0806 02:02:05.181370       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:02:05.181577856Z I0806 02:02:05.181394       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:02:14.781633200Z I0806 02:02:14.781498       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:02:14.781719270Z I0806 02:02:14.781519       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:02:24.893661474Z I0806 02:02:24.893525       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:02:24.893707610Z I0806 02:02:24.893546       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:02:34.193189549Z I0806 02:02:34.193080       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:02:34.193235375Z I0806 02:02:34.193101       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:02:39.673466444Z I0806 02:02:39.673374       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:02:39.673518531Z I0806 02:02:39.673394       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:02:49.329291122Z I0806 02:02:49.329183       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:02:49.329351635Z I0806 02:02:49.329204       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:02:57.429575663Z I0806 02:02:57.429441       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:02:57.429633150Z I0806 02:02:57.429463       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:03:06.317685220Z I0806 02:03:06.317593       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T02:03:06.317742877Z I0806 02:03:06.317614       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T02:03:12.754850473Z I0806 02:03:12.754741       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
